circuit_code,hour,scen,losses
99,9,2,8.02769230576001e-5
99,9,3,0.002504908033502715
99,9,4,0.0014917357574203039
99,9,5,0.0027873587115176054
99,9,6,0.002325809716603129
99,9,7,0.00206314955977882
99,9,8,0.005097162532291442
99,9,9,0.006276808672715765
99,9,10,0.003257673058556523
99,10,1,8.420927490095314e-5
99,10,2,1.9439477510101326e-8
99,10,3,0.0001362316061363358
99,10,4,0.0005780174471609326
99,10,5,4.060238620495169e-8
99,10,6,8.027692607128169e-5
99,10,7,3.871753714096651e-7
99,10,8,8.027693996791987e-5
99,10,9,6.791884482129445e-5
99,10,10,9.136547448296002e-5
99,11,1,0.0010973171824766145
99,11,2,0.0006829630961660339
99,11,3,0.00012135683409054493
99,11,4,8.027693091952012e-5
99,11,5,0.000701951162589272
99,11,6,8.027692871043306e-5
99,11,7,0.0005362924786285613
99,11,8,0.00029218904146179503
99,11,9,0.0001365171594768379
99,11,10,8.02769308954178e-5
99,12,1,0.0016678731373028029
99,12,2,8.027693303085383e-5
99,12,3,0.001129784923616111
99,12,4,8.027692763068864e-5
99,12,5,0.001502313439526017
99,12,6,0.0014884841527081838
99,12,7,0.0008798650720246413
99,12,8,0.0025241350839508986
99,12,9,0.0011582796952899716
99,12,10,0.0010098811515797984
99,13,1,0.0016694010122832125
99,13,2,5.030300013121554e-6
99,13,3,0.001139003239738307
99,13,4,0.007434910829242697
99,13,5,0.0032717197599046108
99,13,6,0.00011191981576431647
99,13,7,0.0008580405204477508
99,13,8,8.02769341248425e-5
99,13,9,0.0011640929445402206
99,13,10,0.0009959390035312028
99,14,1,0.0012152062406607864
99,14,2,0.0005439572502281094
99,14,3,0.0009779350259343
99,14,4,8.02769283669949e-5
99,14,5,0.0017714487132345753
99,14,6,0.001425879042620089
99,14,7,3.226756395935994e-5
99,14,8,0.00026395572922229547
99,14,9,0.0010038856668727826
99,14,10,3.812519754883249e-5
99,15,1,2.9258030674280536e-5
99,15,2,0.00018369680607493665
99,15,3,0.0009396914225566128
99,15,4,0.0016635630323113722
99,15,5,8.027692873172612e-5
99,15,6,0.0010683758185738258
99,15,7,0.0005778701608829726
99,15,8,0.00042253667989460025
99,15,9,1.2994161929184673e-6
99,15,10,0.00024623863587988854
99,16,1,0.00016562305067541652
99,16,2,0.00012834504157352206
99,16,3,1.0826837894179703e-7
99,16,4,8.178706836149177e-7
99,16,5,5.612417532167807e-5
99,16,6,6.437732904202436e-6
99,16,7,8.027692624954133e-5
99,16,8,8.027698481668498e-5
99,16,9,8.027692310810889e-5
99,16,10,2.2306720005814745e-5
99,17,1,8.027691677576564e-5
99,17,2,8.027696193480568e-5
99,17,3,8.02769262270212e-5
99,17,4,8.02769174991595e-5
99,17,5,9.616890113569747e-5
99,17,6,5.069176535699457e-5
99,17,7,8.027692870105244e-5
99,17,8,8.027698439792907e-5
99,17,9,8.027692628094722e-5
99,17,10,2.925883687011134e-7
99,18,1,2.673972915902189e-5
99,18,2,0.0012931368838913421
99,18,3,4.688352984688822e-5
99,18,4,8.027691879304779e-5
99,18,5,1.0459427880222553e-5
99,18,6,2.90672568562931e-5
99,18,7,5.591181322706611e-5
99,18,8,8.027698519358234e-5
99,18,9,6.019686987450693e-8
99,18,10,8.02778199722635e-5
99,19,1,2.1267024952360926e-5
99,19,2,0.0019584390595428175
99,19,3,8.027692404511148e-5
99,19,4,2.8730241171830315e-7
99,19,5,8.02769241290792e-5
99,19,6,3.193845126227234e-5
